,Fat%,PLA2G2A,CTH,PHGDH,APOA2,SERPINC1,TPO,APOB,FABP1,PAX8,LRP2,AGXT,KNG1,ADH4,C9,BHMT,HLA-G,IYD,PLG,CYP3A4,CYP3A43,TG,MAT1A,PRLHR,F2,GRIA4,APOC3,APOA1,HSD17B6,NTS,TSHR,TAT,HPR,KISS1R,CREB3L3,CYP2A6,APOC1,F9
41,31.76249739,14,175,2581,13,8,57,22,11,43,2,8,2,5,4,4,20,8,4,52,133,28,1311,39,9,172,23,37,7,2,7,4,3,4,7,3,69,1
47,34.03488185,443,626,5073,4,4,32,30,1,105,2,12,1,10,0,7,31,15,0,63,14,9,2363,18,1,55,2,16,6,4,14,13,4,9,2,7,86,1
25,36.25136913,63,259,3137,2,2,63,4,2,83,0,3,0,2,0,5,19,34,1,30,8,67,768,70,0,34,2,13,7,0,7,13,0,21,1,2,42,0
82,39.09198942,365,513,5267,5,18,171,29,9,81,8,8,2,7,6,4,88,22,9,47,54,241,6454,34,5,97,16,22,14,4,20,7,0,10,12,3,854,9
26,41.35752455,120,259,2261,4,0,48,36,4,44,7,1,0,0,0,9,9,28,0,19,3,124,1351,42,0,111,6,10,8,2,11,9,7,14,7,2,28,0
71,48.57279554,433,279,3963,9,1,253,20,7,165,3,4,2,6,0,0,19,49,1,100,427,1391,1845,219,0,66,6,25,14,2,26,10,6,8,2,2,202,0
49,50.22914618,249,283,3701,1,9,79,9,19,244,13,4,0,0,1,1,218,31,1,66,4,538,1828,44,1,83,2,10,13,2,21,9,2,6,155,0,3434,0
51,50.22914618,249,283,3701,1,9,79,9,19,244,13,4,0,0,1,1,218,31,1,66,4,538,1828,44,1,83,2,10,13,2,21,9,2,6,155,0,3434,0
50,50.22914618,249,283,3701,1,9,79,9,19,244,13,4,0,0,1,1,218,31,1,66,4,538,1828,44,1,83,2,10,13,2,21,9,2,6,155,0,3434,0
63,52.8241662,636,650,3521,16,15,55,75,18,78,7,25,7,4,7,8,41,21,10,1058,198,19,1379,247,7,69,24,64,15,2,11,15,9,26,46,1,87,1
62,52.8241662,636,650,3521,16,15,55,75,18,78,7,25,7,4,7,8,41,21,10,1058,198,19,1379,247,7,69,24,64,15,2,11,15,9,26,46,1,87,1
70,60.17854387,756,329,1880,8,19,299,30,1,100,2,15,3,2,6,14,102,59,6,1218,105,1180,3499,8,0,71,4,10,22,0,29,18,2,3,22,2,525,2
69,60.17854387,756,329,1880,8,19,299,30,1,100,2,15,3,2,6,14,102,59,6,1218,105,1180,3499,8,0,71,4,10,22,0,29,18,2,3,22,2,525,2
13,66.48814048,179,571,7501,10,0,97,14,3,28,0,0,3,2,1,23,28,3,3,11,2,91,1995,4,0,95,4,29,0,0,0,29,6,20,22,4,34,2
5,66.52705164,101,489,6818,15,21,98,64,14,80,6,19,7,12,2,5,34,16,5,18069,2826,317,1535,108,3,166,25,45,5,10,23,22,8,8,2,5,63,1
